"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Asuntos Internos revisará la actuación del mosso que llamó ""idiota"" a un manifestante independentista el 21D https://t.co/beLjGH9axm",FALSE,1,NA,2019-01-01 20:04:56,FALSE,NA,"1080193175484915712",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","claudioemmanue",2,FALSE,FALSE,NA,NA
"La Asociación de Reservistas Voluntarios de las FAS lanza una petición en https://t.co/iShYSPKTwu para parar la inv… https://t.co/bfxc4njjJN",FALSE,5,NA,2019-01-01 20:00:22,TRUE,NA,"1080192023326609409",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","e24diari",4,FALSE,FALSE,NA,NA
"Que van a investigar los de asuntos internos al mosso que le dijo idiota a un manifestante, las balas de foam no insultan.",FALSE,0,NA,2019-01-01 20:00:04,FALSE,NA,"1080191951742398464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pekapepa",0,FALSE,FALSE,NA,NA
"Asuntos Internos revisará la actuación del mosso que llamó ""idiota"" a un manifestante el 21-D… https://t.co/8YDMW3JBTs",FALSE,1,NA,2019-01-01 19:56:12,TRUE,NA,"1080190977988612096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jgborroto",1,FALSE,FALSE,NA,NA
"Con un par y de los grandes!!!
Polémica en Cataluña por el mosso del viral «!La república no existe, idiota!» https://t.co/2xmQtulReh",FALSE,0,NA,2019-01-01 19:50:06,FALSE,NA,"1080189439761178625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","qbacano",0,FALSE,FALSE,NA,NA
"Asuntos Internos revisará la actuación del mosso que llamó ""idiota"" a un manifestante independentista el 21D",FALSE,0,NA,2019-01-01 19:49:43,FALSE,NA,"1080189345590464512",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","adonisfreshx7",0,FALSE,FALSE,NA,NA
"Polémica en Cataluña por el mosso del viral «!La república no existe, idiota!» https://t.co/F3Jw2syb5m",FALSE,0,NA,2019-01-01 19:44:54,FALSE,NA,"1080188133516472322",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","JOSEARRILE",0,FALSE,FALSE,NA,NA
"@UMCmossos @mossos @CiudadanosCs @ppmadrid @socialistes_cat @vox_es @JuecesAPMCAT @interiorgob @europapress… https://t.co/lxJspKXGls",FALSE,0,"UMCmossos",2019-01-01 19:44:42,TRUE,"1080163409902080003","1080188083218329600","985201291939995648","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Benja14918561",0,FALSE,FALSE,NA,NA
"Me parece perfecto. ¿Un simple ""idiota"" cuando debería haberle llamado """"gilipollas de los cojones""?

Asuntos Inter… https://t.co/z8D6Ub3JtS",FALSE,7,NA,2019-01-01 19:41:00,TRUE,NA,"1080187151126614016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","APernath",4,FALSE,FALSE,NA,NA
"Asuntos Internos revisará la actuación del mosso que llamó “idiota” a un manifestante el 21-D… https://t.co/bq3IksqpIh",FALSE,0,NA,2019-01-01 19:28:07,TRUE,NA,"1080183909751668737",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","somoslibres18",1,FALSE,FALSE,NA,NA
"Asuntos Internos revisará la actuación del mosso que llamó ""idiota"" a un manifestante independentista el 21D… https://t.co/DTwrAWpXLw",FALSE,0,NA,2019-01-01 19:27:06,TRUE,NA,"1080183652481359873",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PrimaRiesgoInfo",0,FALSE,FALSE,NA,NA
"@seingantistenes @catmyrfree @martinalliue80 @massaborrega @Ororo_Pride @Manchimusu @56Lucas5 @ELPEQUENOPUIG… https://t.co/B7wXw9pFLU",FALSE,0,"seingantistenes",2019-01-01 19:24:41,TRUE,"1080182875218235393","1080183046840741891","323328820","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cebacega4",0,FALSE,FALSE,NA,NA
"@catmyrfree @martinalliue80 @massaborrega @Ororo_Pride @Manchimusu @56Lucas5 @ELPEQUENOPUIG @Jrgen27307674… https://t.co/TiKNK0LeNH",FALSE,0,"catmyrfree",2019-01-01 19:22:59,TRUE,"1080182159313387521","1080182617142673410","993926541984837632","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cebacega4",0,FALSE,FALSE,NA,NA
"@99Nandes @UMCmossos @mossos @CiudadanosCs @ppmadrid @socialistes_cat @vox_es @JuecesAPMCAT @interiorgob… https://t.co/akSu19UH32",FALSE,4,"99Nandes",2019-01-01 19:21:04,TRUE,"1080166891975573507","1080182136500563969","2783686161","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","AnaFMatarn",1,FALSE,FALSE,NA,NA
"Agora resulta que poden sancionarte por constatar unha verdade, pois si que comeza ben o 2019 si
Polémica en Catalu… https://t.co/ZmeMTOAEFg",FALSE,0,NA,2019-01-01 19:03:02,TRUE,NA,"1080177596359426048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Andresucooo",0,FALSE,FALSE,NA,NA
"Seguro que es para ver si lo hizo bien o mal?
Asuntos Internos revisará la actuación del mosso que llamó ""idiota"" a… https://t.co/cEY6G2HxyS",FALSE,0,NA,2019-01-01 19:00:12,TRUE,NA,"1080176884741271557",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brage_gm",0,FALSE,FALSE,NA,NA
"Los Mossos revisaran la actuación del agente que con buen criterio le dijo Idiota a un manifestante, imagino que re… https://t.co/upYUU7lYpL",FALSE,0,NA,2019-01-01 18:58:37,TRUE,NA,"1080176484365598720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tricornio1",0,FALSE,FALSE,NA,NA
